Importance,Feature
0.0960675291740959,SMR_VSA10
0.07828981581570525,FractionCSP3
0.0754556986362171,TPSA
0.04672426394730311,MolMR
0.04016649084355591,PEOE_VSA2
0.035336056856321456,NumValenceElectrons
0.03452441490250665,MinEStateIndex
0.033208119569907456,FpDensityMorgan1
0.031751876626382805,MaxPartialCharge
0.030843493285286728,Kappa2
0.02835451072392901,EState_VSA8
0.027309113807115537,NumAromaticHeterocycles
0.02620959616285965,SlogP_VSA2
0.025539233251942184,qed
0.025419511445990597,BertzCT
0.02456358589708592,MolWt
0.0224971752510056,LabuteASA
0.02138132044041442,MinPartialCharge
0.02122762830237783,HeavyAtomMolWt
0.020465579847435893,HallKierAlpha
0.019644810012965596,SlogP_VSA6
0.01862305410980833,MolLogP
0.018377920199107067,Ipc
0.018301042252584807,RingCount
0.01774228137822577,MaxEStateIndex
0.016856292446394625,NumRotatableBonds
0.016148494099156308,PEOE_VSA10
0.01587337893203668,exactMolWt
0.01569556780018227,BalabanJ
0.015454464400717278,NumAromaticRings
0.013639397119786399,SMR_VSA4
0.011040916716580331,NHOHCount
0.009475148855367745,HeavyAtomCount
0.009423872616677476,EState_VSA3
0.007715032176152988,NumHDonors
0.006952830557371556,NumAliphaticHeterocycles
0.00510981446367146,NumHeteroatoms
0.004716400692725824,NumHAcceptors
0.0044455355618175365,NumAromaticCarbocycles
0.004187995400355905,NOCount
0.003906333759244805,NumAliphaticRings
0.0006709828759796217,NumSaturatedRings
0.0006634187856505385,NumSaturatedHeterocycles
0.0,NumSaturatedCarbocycles
0.0,NumAliphaticCarbocycles
