Importance,Feature
0.08984680206730827,SMR_VSA10
0.07571537012283233,FractionCSP3
0.07345994466987207,TPSA
0.04972989273707349,MolMR
0.03925076634706434,NumValenceElectrons
0.037886904377695395,PEOE_VSA2
0.03554355859564376,MinEStateIndex
0.03227559670977348,FpDensityMorgan1
0.03183322433209819,MaxPartialCharge
0.029520547738364288,Kappa2
0.029067494090221257,qed
0.026598340162470247,BertzCT
0.025147769794991292,NumAromaticHeterocycles
0.02512914514189,LabuteASA
0.024434107744792887,EState_VSA8
0.024394596511815653,SlogP_VSA2
0.02207733645295305,MolLogP
0.022035149467878865,MolWt
0.021160118597435065,MinPartialCharge
0.02075399353167333,HeavyAtomMolWt
0.01983807313872261,SlogP_VSA6
0.01946017850016233,MaxEStateIndex
0.019084027210680792,NumRotatableBonds
0.01886414896482349,PEOE_VSA10
0.018756578309049535,BalabanJ
0.018682157196951103,Ipc
0.01854704584385097,HallKierAlpha
0.016715904244395896,RingCount
0.014963192472344029,NumAromaticRings
0.014755688496009368,exactMolWt
0.013424359411247143,SMR_VSA4
0.012047744628172883,HeavyAtomCount
0.011485914422824066,EState_VSA3
0.010769038413961186,NHOHCount
0.007739908703562717,NumHDonors
0.007225839943010193,NumAliphaticHeterocycles
0.005139314493618885,NumHAcceptors
0.004848259361697903,NOCount
0.004175306044128564,NumHeteroatoms
0.003807870586559678,NumAliphaticRings
0.002104703911185835,NumAromaticCarbocycles
0.001627494754866488,NumSaturatedHeterocycles
7.659175432701105e-05,NumSaturatedRings
0.0,NumSaturatedCarbocycles
0.0,NumAliphaticCarbocycles
