STRUCTURE_ID,MolWt,EXACT_MASS,logP,MW,HBD,HBA,TPSA,Flexibility,Rotatable Bonds,MolWt,ExactMolWt,qed,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,TPSA,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount
00YRB22-045-013,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.369049577,75.25,1.24,1.402195602,812.8448861,-2.36,712321.8355,5.581735383,140.275256,6.327320075,4.400694606,17.0462485,11.07361877,50.23978653,30.07356352,12.79902024,-4.856317217,25.93115606,24.86116808,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-014,367.331,367.1,1.822,367.3,1,7,83.73,0.1034,3,367.331,367.1256094,0.87673747,351.203,2.2684,86.4118,0.5,138,0.457636727,-0.356558756,83.73,1.192307692,1.412050811,851.1392562,-2.49,1077865.284,6.044367323,146.0584082,12.14518285,0,22.43247271,11.07361877,50.82307044,29.94308701,12.82157967,-4.865041624,25.93115606,29.8451466,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-015,369.347,369.1,1.666,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.356558752,75.77,1.269230769,1.41062731,857.17753,-2.36,1025194.288,5.831181285,146.5912878,5.817862778,4.681802935,22.43247271,18.12129076,50.63559814,23.61576694,12.82668171,-4.859124464,25.93115606,24.97587137,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-016,369.347,369.1,1.666,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.356514437,75.77,1.269230769,1.41903757,857.17753,-2.36,1027886.923,5.831181285,146.5912878,5.817862778,4.681802935,22.43247271,18.12129076,50.63559814,23.61576694,12.83062729,-4.859735803,25.93115606,24.97587137,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-017,369.347,369.1,1.659,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.356558741,75.77,1.307692308,1.409634635,857.17753,-2.36,973517.7535,5.831181285,146.5912878,11.3345635,4.681802935,22.43247271,18.12129076,50.63559814,23.61576694,12.82668171,-4.859124464,25.93115606,24.97587137,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-018,369.347,369.1,1.659,369.3,1,7,75.77,0.1034,3,369.347,369.1412595,0.878522435,351.203,2.2119,87.5878,0.5625,140,0.457636727,-0.356513293,75.77,1.307692308,1.409634635,857.17753,-2.36,973517.7535,5.831181285,146.5912878,5.817862778,4.681802935,22.43247271,18.12129076,50.63559814,23.61576694,12.82586659,-4.860151749,25.93115606,24.97587137,26,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-019,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.370083904,75.25,1.28,1.402195602,812.8448861,-2.36,712321.8355,5.581735383,140.2437096,0,0,17.0462485,11.07361877,50.4691931,29.81261051,12.79854755,-4.856904496,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-020,359.352,359.2,1.49,359.3,1,7,75.77,0.1071,3,359.352,359.1569095,0.872339203,339.192,1.858,82.0388,0.8,138,0.457636727,-0.353530783,75.77,1.16,1.388553391,681.1969722,-1.84,719890.6316,5.856664561,141.967072,0,0,11.52954778,11.07361877,50.86500472,5.155712727,12.81963508,-4.847106761,31.64284106,25.20527795,25,1,7,0,3,3,0,1,1,7,1,10,2,0,1,1,4
00YRB22-045-021,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.356366169,75.25,1.24,1.426126923,812.8448861,-2.36,719890.6316,5.581735383,140.275256,5.817862778,9.384673127,17.176725,11.07361877,50.23978653,29.94308701,12.81041709,-4.857637688,25.93115606,24.86116808,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
00YRB22-045-022,355.32,355.1,1.519,355.3,1,7,75.25,0.1071,3,355.32,355.1256094,0.89153316,339.192,1.9729,82.0658,0.533333333,134,0.457636727,-0.355177477,75.25,1.28,1.426126923,812.8448861,-2.36,719890.6316,5.581735383,140.2437096,0,0,17.176725,11.07361877,50.4691931,29.68213401,12.80857469,-4.859984991,25.93115606,24.97587137,25,1,7,0,2,2,0,2,2,7,1,10,2,0,1,1,4
