SMILES,PREDICTED_SPE_METHOD,PREDICTED_LCMS_METHOD,MolWt,ExactMolWt,qed,TPSA,HeavyAtomMolWt,MolLogP,MolMR,FractionCSP3,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,BalabanJ,BertzCT,HallKierAlpha,Ipc,Kappa2,LabuteASA,PEOE_VSA10,PEOE_VSA2,SMR_VSA10,SMR_VSA4,SlogP_VSA2,SlogP_VSA6,MaxEStateIndex,MinEStateIndex,EState_VSA3,EState_VSA8,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,SMILES
ClC1=C(Cl)C=C(N2CCN(C(C(C=C(C)N3)=CC3=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],366.2480000000001,365.069782144,0.8893018084081646,56.410000000000004,349.11200000000014,2.9525200000000007,96.37820000000002,0.29411764705882354,126,0.2537417767251881,-0.3679372493830517,1.0416666666666667,1.6877962938011388,826.825634515124,-1.9799999999999995,266964.99300494924,6.869554517431664,149.34121083361555,0.0,9.589074368143644,34.7964457845001,0.0,41.97009360479949,35.126372526379875,12.562188816808224,-0.25667398420790866,47.481671737678404,9.883888251797686,24,1,5,0,1,1,1,1,2,3,1,7,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(C=C(C)N3)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(C=C(C3CC3)N4)=CC4=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],392.2860000000001,391.085432208,0.8698572648034976,56.410000000000004,373.1340000000001,3.5215000000000014,103.61620000000003,0.3684210526315789,136,0.2537421482340368,-0.3679372493830517,1.0,1.4485198673062136,899.8975131556067,-1.9799999999999995,1773183.4840564118,6.9692457669216346,161.06526390887953,0.0,9.589074368143644,34.7964457845001,0.0,41.97009360479949,35.126372526379875,12.80519713124511,-0.20167398420790872,47.70564978899134,9.883888251797686,26,1,5,1,1,2,1,1,2,3,1,7,3,1,1,2,4,ClC1=C(Cl)C=C(N2CCN(C(C(C=C(C3CC3)N4)=CC4=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(N=C(C3CC3)N4)=CC4=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],393.2740000000001,392.0806811759999,0.8709150259074443,69.3,375.13000000000017,2.916500000000001,101.41120000000004,0.3888888888888889,136,0.2723574411824596,-0.36793723327304345,1.0769230769230769,1.4485198673062136,902.3043733872368,-2.05,1773183.4840564118,6.928164194604956,160.28491188982602,11.518332492848387,9.589074368143644,34.7964457845001,0.0,46.95407212574669,29.060005457918262,12.74269713124511,-0.2641739842079087,47.966602795294264,14.867866772744893,26,1,6,1,1,2,1,1,2,4,1,8,3,1,1,2,4,ClC1=C(Cl)C=C(N2CCN(C(C(N=C(C3CC3)N4)=CC4=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(C=NN3)=CC3=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],353.2090000000001,352.04938104799993,0.8972266811810304,69.3,339.09700000000015,2.0390999999999995,89.4362,0.26666666666666666,120,0.26443358540337136,-0.36793724932189414,1.0869565217391304,1.6693949925676244,785.0414986716734,-2.05,192921.183601996,6.598580066823092,142.16437026857014,0.0,9.589074368143644,34.7964457845001,0.0,47.18347870045435,35.25684902953134,12.369966594586003,-0.38398879902272287,41.787743742829946,15.097273347452553,23,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(C=NN3)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC4=C3C=NN4)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],375.25900000000007,374.070116492,0.7407976149827634,52.23,359.1310000000001,3.8321000000000023,100.67220000000002,0.2222222222222222,128,0.25422234924531256,-0.3679372493597724,1.04,1.4870514575412002,931.7256946580897,-2.2399999999999998,931663.7911181436,6.577329790290149,154.6740251403294,0.0,9.893218992372859,45.69937071658116,0.0,47.18347870045435,42.595045982382736,12.880799927919336,0.042396786904062456,28.698230931004797,15.097273347452553,25,1,5,0,1,1,2,1,3,3,1,7,2,0,1,1,4,ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC4=C3C=NN4)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(C=C(Cl)N3)=CC3=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],386.6660000000001,385.01515972799996,0.8058214520423844,56.410000000000004,372.55400000000014,3.297500000000001,96.65120000000003,0.25,126,0.25378708963888774,-0.36793724938296535,0.9583333333333334,1.6877962938011388,829.5576153142163,-1.69,266964.99300494924,7.050304288728523,153.2795349461006,5.153109816892792,9.589074368143644,46.39738567473262,0.0,41.97009360479949,35.126372526379875,12.503546841499581,-0.38861842865235263,41.787743742829946,9.883888251797686,24,1,5,0,1,1,1,1,2,3,1,8,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(C=C(Cl)N3)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(C=CN3)=CC3=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],352.2210000000001,351.05413208,0.9041794351841511,56.410000000000004,337.1010000000001,2.6441,91.64120000000001,0.25,120,0.2537313699178465,-0.3679372493830727,1.0,1.6693949925676244,782.8899701036377,-1.9799999999999995,192921.183601996,6.642490783443104,142.97626871921892,0.0,9.589074368143644,34.7964457845001,0.0,41.97009360479949,41.32321609799295,12.409966594586002,-0.2728776879116124,41.787743742829946,9.883888251797686,23,1,5,0,1,1,1,1,2,3,1,7,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(C=CN3)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(N=CN3)=CC3=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],353.2090000000001,352.04938104799993,0.8972266811810304,69.3,339.09700000000015,2.0390999999999995,89.4362,0.26666666666666666,120,0.2723440173453943,-0.3679372332730697,1.0869565217391304,1.6693949925676244,785.0414986716734,-2.05,192921.183601996,6.598580066823092,142.1959167001654,5.693927994848461,9.589074368143644,34.7964457845001,0.0,46.95407212574669,35.3873255326828,12.347466594586002,-0.33537768791161215,36.22429225113295,14.867866772744893,23,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(N=CN3)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(N=C(C)N3)=CC3=O)=O)CC2)C=C1,['MCX'],['Gemini LpH'],367.2360000000001,366.06503111199993,0.8848840159212512,69.3,351.1080000000002,2.3475200000000003,94.17320000000002,0.3125,126,0.27235697917763463,-0.3679372332730435,1.125,1.6877962938011388,829.0673903185432,-2.05,266964.99300494924,6.826144338632133,148.56085881456204,11.518332492848387,9.589074368143644,34.7964457845001,0.0,46.95407212574669,29.060005457918262,12.499688816808224,-0.31917398420790866,42.04869674913287,14.867866772744893,24,1,6,0,1,1,1,1,2,4,1,8,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(N=C(C)N3)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C(N(C)C(N3)=O)=CC3=O)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],383.2350000000001,382.0599457319999,0.8493229293621107,78.41,367.1070000000002,1.3427999999999998,96.88220000000003,0.3125,132,0.32818261929732123,-0.36793723335398076,1.04,1.737798167134374,929.7075633625216,-2.2499999999999996,412387.729898749,6.933951131472997,152.93235240120114,5.693927994848461,19.140152536882205,34.7964457845001,7.04767198267719,46.53719325259084,33.854542641990086,12.623299927919335,-0.6062110212449452,36.22429225113295,9.883888251797686,25,1,7,0,1,1,1,1,2,5,1,9,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C(N(C)C(N3)=O)=CC3=O)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3CCNCC3)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],342.27000000000015,341.106167652,0.8976005603459618,35.58,321.1020000000001,2.6416000000000004,90.84870000000004,0.5625,120,0.22540130386047144,-0.36793766536333283,1.0454545454545454,1.5717331994418333,538.1924980458598,-0.9700000000000002,138581.65671822292,7.070410815297749,140.90674603422647,0.0,4.794537184071822,34.7964457845001,5.917906046161393,50.07562789567743,18.19910120538483,12.536170298289706,0.20627438839018897,15.952446356834159,10.216698334856808,22,1,4,0,2,2,1,0,1,3,1,6,2,0,2,2,3,ClC1=C(Cl)C=C(N2CCN(C(C3CCNCC3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CCNCC3)=O)CC2)C=C1,['MCX'],['Gemini LpH'],340.25400000000013,339.090517588,0.8988779210015538,35.58,321.1020000000001,2.5617,90.82470000000002,0.4375,118,0.249170822235947,-0.367937252630781,1.0909090909090908,1.608291206101829,595.0537568638811,-1.23,138581.65671822292,6.900821357353951,140.21714300204223,0.0,4.794537184071822,34.7964457845001,0.0,50.07562789567743,29.848225842287977,12.46788326125267,0.1900819720892477,10.045266627482652,10.216698334856808,22,1,4,0,2,2,1,0,1,3,1,6,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CCNCC3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C([C@@H]3CCNC[C@H]3C)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],356.29700000000014,355.121817716,0.8852441618237487,35.58,333.1130000000001,2.887600000000001,95.39570000000003,0.5882352941176471,126,0.22567140299165375,-0.3679376653514407,1.173913043478261,1.5905523997670108,572.9569491276035,-0.9700000000000002,198242.01955202836,7.285800464387745,147.27168814862307,0.0,4.794537184071822,34.7964457845001,11.835812092322787,50.07562789567743,18.19910120538483,12.746586964956373,0.17386698098278153,21.87035240299555,17.140435534547432,23,1,4,0,2,2,1,0,1,3,1,6,2,0,2,2,3,ClC1=C(Cl)C=C(N2CCN(C([C@@H]3CCNC[C@H]3C)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C([C@@H]3CCN[C@H](C)C3)=O)CC2)C=C1,['MCX'],['Xbridge HpH'],356.29700000000014,355.121817716,0.884922364538896,35.58,333.1130000000001,3.030100000000001,95.44370000000004,0.5882352941176471,126,0.2254121960532119,-0.36793766536331,1.173913043478261,1.5704709418013016,572.9569491276035,-0.9700000000000002,192921.183601996,7.285800464387745,147.27168814862307,0.0,4.794537184071822,34.7964457845001,5.917906046161393,49.572712318912814,18.19910120538483,12.681725853845261,0.18312624024204083,21.99428718598212,17.140435534547432,23,1,4,0,2,2,1,0,1,3,1,6,2,0,2,2,3,ClC1=C(Cl)C=C(N2CCN(C([C@@H]3CCN[C@H](C)C3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC(N)=C3)=O)CC2)C=C1,['MCX'],['Gemini LpH'],350.2490000000001,349.074867524,0.8432351861901846,49.57,333.1130000000001,3.538000000000001,95.43290000000002,0.23529411764705882,120,0.253551219481317,-0.3987087781911275,0.9565217391304348,1.6581317244581613,727.5284609656484,-1.9100000000000001,192921.183601996,6.686490920437231,144.93498933524137,0.0,4.794537184071822,40.48383205918366,0.0,36.98611508385228,42.46456947923127,12.507188816808224,0.019526416533692137,34.385617205688355,4.899909730850478,23,2,4,0,1,1,2,0,2,3,1,6,2,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC(N)=C3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3(C(F)F)CNC3)=O)CC2)C=C1,['HLB'],['Xbridge HpH'],364.2230000000001,363.071673964,0.8954637620741949,35.58,347.0870000000001,2.4967000000000006,86.56170000000002,0.5333333333333333,126,0.25492095590957675,-0.36793766191791366,1.1304347826086956,1.63925453264515,602.384827309044,-1.11,124569.93766200959,6.415951754536808,142.87287472568235,5.41499046939678,4.794537184071822,34.7964457845001,5.41499046939678,56.50107264053661,18.19910120538483,13.239283739805579,-2.6348597997254206,36.22429225113295,10.216698334856808,23,1,4,0,2,2,1,0,1,3,1,8,3,0,2,2,3,ClC1=C(Cl)C=C(N2CCN(C(C3(C(F)F)CNC3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC([C@H](N)C)=C3)=O)CC2)C=C1,['HLB'],['Xbridge HpH'],378.3030000000001,377.106167652,0.8792708557291382,49.57,357.1350000000001,3.975500000000002,103.62290000000003,0.3157894736842105,132,0.2534848876450287,-0.3679372493835606,1.04,1.661409834913679,771.0145638851773,-1.75,481391.0381469378,7.645957193816884,157.66487356403456,0.0,4.794537184071822,34.7964457845001,5.733667477162185,36.98611508385228,42.46456947923127,12.744528197004747,-0.08402725311517956,28.698230931004797,4.899909730850478,25,2,4,0,1,1,2,0,2,3,1,6,3,0,1,1,3,ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC([C@H](N)C)=C3)=O)CC2)C=C1
ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC4=C3CCN4)=O)CC2)C=C1,['HLB'],['Gemini LpH'],376.28700000000015,375.090517588,0.863070810362954,35.58,357.1350000000001,3.9238000000000017,103.21420000000003,0.3157894736842105,130,0.2538334992762393,-0.38446723588039455,1.0,1.4586383213629903,816.3116585472001,-1.9099999999999997,931663.7911181436,6.7721556302138035,156.86901389710067,0.0,4.794537184071822,40.48383205918366,0.0,43.530871489764856,36.39820241076966,12.942466594586001,0.1336467869040625,23.134779439307803,10.216698334856808,25,1,4,0,2,2,2,0,2,3,1,6,2,0,1,1,4,ClC1=C(Cl)C=C(N2CCN(C(C3=CC=CC4=C3CCN4)=O)CC2)C=C1
